-34, -29, -31, -32, -30, -30, -30, -27, -28, -28, -25, -23, -23, -20, -19, -18, -17, -17, -15, -13, -10,  -9,  -9,  -6,  -4,  -2,   0,   0,   0,   4,   1,   4,   5,   7,   9,  10,   7,  10,   9,   4,  11,   9,   7,   7,  11,  10,   4,  10,   7,   8,   6,   5,   7,   2,   4,   1,   2,   0,  -5,  -5,  -7,  -7, -11, -11, -14, -14, -18, -17, -18, -22, -24, -24, -24, -28, -27, -29, -30, -32, -32, -32
-33, -33, -30, -30, -31, -33, -28, -30, -27, -25, -24, -25, -20, -20, -19, -16, -14, -13, -15, -12,  -9,  -6,  -2,  -2,  -3,  -1,   1,   2,   3,   6,   4,   5,   7,   8,   9,   9,  10,   9,   8,  11,  13,  10,  11,  12,  11,  12,  11,   9,   6,   7,  10,   7,  10,   7,   7,   4,   5,   4,  -1,  -3,  -7,  -3,  -8, -11, -11, -10, -17, -19, -19, -22, -21, -24, -24, -28, -27, -27, -32, -30, -33, -34
-33, -33, -30, -32, -30, -31, -30, -29, -27, -25, -23, -23, -19, -16, -16, -12, -14, -13, -10,  -5,  -7,  -5,  -3,  -3,   1,   1,   1,   6,   5,   6,   9,   9,  11,  11,  12,  13,  11,  11,  11,  11,  11,  12,  14,  14,  13,  12,  13,  13,  14,  12,  12,  11,   9,   9,   6,   5,   3,   3,   2,   0,  -1,  -3,  -5, -10,  -9,  -8, -14, -16, -17, -20, -20, -20, -25, -24, -27, -26, -30, -29, -30, -33
-34, -32, -28, -32, -30, -30, -29, -24, -24, -25, -20, -22, -18, -17, -14, -14, -13, -10, -10,  -6,  -3,  -4,  -1,  -1,   4,   2,   3,   7,   6,   7,  10,  10,  11,  12,  11,  15,  12,  15,  15,  15,  17,  16,  14,  17,  14,  16,  16,  17,  11,  14,  14,  14,  13,   9,  11,   9,   7,   2,   6,   0,   1,   0,  -2,  -5,  -7,  -8, -11, -12, -15, -18, -18, -20, -22, -25, -25, -26, -30, -28, -29, -33
-33, -30, -31, -33, -30, -29, -25, -26, -27, -22, -21, -17, -18, -16, -14, -11,  -7,  -6,  -8,  -6,  -2,  -2,  -1,   3,   4,   8,   9,  10,  11,   8,  13,  14,  12,  16,  14,  13,  16,  17,  19,  18,  17,  16,  18,  18,  17,  16,  14,  18,  17,  18,  17,  13,  16,  14,  12,  10,  11,   7,   3,   4,   2,   0,  -2,  -2,  -5,  -6, -11, -12, -13, -14, -14, -19, -21, -22, -24, -22, -27, -26, -30, -29
-30, -29, -31, -29, -29, -28, -24, -24, -22, -21, -19, -18, -15, -14, -12, -10,  -8,  -6,  -5,  -3,   1,   2,   6,   3,   4,   7,   8,   8,   8,  12,  14,  14,  16,  16,  17,  18,  17,  18,  17,  20,  22,  18,  18,  17,  20,  18,  18,  17,  19,  16,  15,  15,  14,  16,  14,  11,  12,   8,   8,   6,   6,   4,   2,  -4,  -4,  -3,  -7,  -8, -11, -14, -15, -18, -20, -21, -25, -24, -25, -29, -29, -31
-31, -31, -30, -27, -27, -28, -24, -22, -22, -20, -16, -16, -13, -16, -12,  -7,  -2,  -5,  -3,  -1,   1,   3,   6,   7,   8,  10,  12,  12,  12,  14,  16,  16,  18,  17,  18,  19,  22,  20,  23,  20,  20,  21,  22,  21,  21,  22,  20,  20,  20,  18,  19,  14,  18,  16,  17,  14,  14,  13,  10,   9,   6,   1,   2,   2,   0,  -5,  -5,  -7, -11, -11, -13, -16, -19, -19, -22, -25, -26, -25, -29, -28
-30, -29, -30, -28, -25, -27, -25, -24, -20, -18, -16, -15, -14, -10, -12,  -7,  -4,  -4,  -2,   1,   4,   7,   5,   8,   9,  10,  13,  13,  14,  14,  16,  18,  18,  22,  22,  22,  22,  23,  22,  25,  20,  25,  23,  21,  20,  23,  19,  23,  20,  23,  20,  19,  19,  18,  14,  16,  16,  14,  11,  11,   6,   9,   5,   1,   1,  -2,  -5,  -6,  -7,  -9, -13, -14, -17, -19, -20, -22, -26, -26, -27, -29
-31, -30, -30, -28, -28, -28, -22, -21, -22, -20, -17, -15, -14,  -9,  -8,  -4,  -1,  -1,   1,   3,   5,   5,   5,  12,  11,  13,  15,  15,  16,  15,  17,  19,  19,  20,  24,  24,  24,  25,  23,  26,  24,  24,  23,  24,  24,  25,  23,  26,  22,  22,  20,  20,  18,  22,  16,  12,  11,  12,  12,  11,  11,   9,   7,   3,   1,  -3,  -3,  -4,  -7, -10, -12, -16, -16, -20, -19, -23, -23, -25, -26, -28
-31, -28, -29, -29, -25, -24, -24, -21, -20, -16, -13, -12, -10, -10,  -7,  -2,  -1,  -1,   3,   4,   4,   8,  12,  13,  12,  13,  13,  15,  16,  19,  20,  20,  21,  22,  24,  20,  25,  26,  24,  27,  28,  27,  27,  25,  27,  26,  25,  22,  22,  25,  24,  22,  22,  21,  17,  16,  15,  16,  15,  12,  11,   9,   8,   4,   3,   0,   0,  -3,  -7,  -6,  -9, -12, -14, -17, -19, -21, -20, -24, -26, -27
