Camera Get Data Success
-54, -52, -52, -53, -48, -50, -50, -48, -47, -46, -44, -43, -43, -41, -40, -39, -37, -37, -35, -32, -32, -33, -28, -30, -29, -29, -27, -24, -24, -24, -22, -22, -23, -19, -23, -20, -21, -21, -19, -21, -21, -18, -19, -19, -20, -18, -20, -19, -18, -21, -22, -21, -21, -24, -26, -23, -26, -27, -28, -29, -28, -31, -32, -33, -35, -35, -38, -37, -40, -40, -41, -42, -47, -47, -44, -49, -50, -52, -49, -52
-52, -55, -53, -54, -51, -50, -50, -48, -49, -47, -42, -44, -41, -39, -39, -37, -37, -35, -35, -35, -29, -32, -29, -26, -28, -26, -24, -22, -23, -23, -21, -20, -19, -19, -19, -17, -18, -20, -18, -17, -17, -17, -18, -18, -15, -18, -18, -20, -19, -18, -21, -20, -19, -22, -22, -24, -23, -25, -27, -25, -27, -27, -32, -33, -32, -33, -36, -37, -38, -40, -39, -42, -43, -44, -49, -48, -51, -48, -52, -51
-53, -53, -55, -53, -50, -50, -51, -47, -46, -43, -45, -41, -40, -39, -39, -35, -34, -34, -33, -30, -29, -29, -27, -26, -25, -23, -25, -23, -21, -21, -18, -20, -19, -18, -18, -17, -15, -15, -17, -16, -16, -14, -18, -16, -17, -16, -14, -17, -16, -18, -18, -17, -19, -18, -20, -21, -24, -24, -26, -25, -27, -26, -30, -32, -32, -34, -34, -37, -38, -38, -39, -39, -43, -46, -47, -47, -47, -50, -51, -50
-52, -52, -50, -50, -51, -50, -46, -49, -45, -44, -45, -41, -39, -39, -34, -34, -32, -31, -31, -30, -28, -29, -26, -24, -22, -22, -21, -19, -19, -23, -20, -17, -18, -17, -17, -14, -16, -17, -18, -13, -14, -16, -13, -14, -15, -17, -14, -14, -16, -13, -17, -18, -19, -19, -21, -22, -22, -23, -24, -22, -25, -27, -28, -30, -30, -30, -35, -34, -35, -37, -37, -38, -42, -43, -45, -45, -46, -50, -52, -47
-53, -53, -51, -50, -49, -50, -47, -46, -43, -41, -41, -38, -36, -35, -34, -33, -31, -32, -30, -29, -26, -24, -26, -25, -22, -21, -20, -20, -18, -17, -18, -16, -18, -16, -15, -15, -15, -14, -12, -12, -13, -13, -14, -12, -14, -12, -14, -12, -14, -13, -15, -15, -16, -19, -19, -19, -19, -21, -20, -23, -24, -27, -26, -25, -28, -30, -33, -33, -32, -36, -38, -38, -39, -41, -41, -46, -47, -47, -50, -48
-54, -51, -50, -49, -50, -46, -44, -43, -43, -41, -41, -38, -36, -34, -32, -34, -31, -29, -28, -26, -24, -24, -25, -23, -19, -19, -18, -17, -18, -18, -15, -13, -14, -15, -13, -14, -12, -14, -12, -12, -10, -11, -12, -15, -12, -14, -14, -14, -15, -17, -16, -15, -17, -17, -17, -17, -20, -19, -19, -23, -22, -24, -25, -26, -29, -30, -31, -32, -33, -36, -36, -36, -39, -40, -43, -42, -44, -46, -48, -50
-53, -52, -50, -49, -45, -48, -45, -47, -41, -45, -38, -37, -37, -34, -32, -31, -29, -28, -27, -28, -24, -23, -21, -20, -20, -18, -20, -16, -14, -16, -15, -13, -15, -13, -11, -12, -12, -12, -11, -14, -11, -13, -12, -13,  -9, -12, -12, -12, -13, -15, -17, -13, -16, -16, -16, -19, -18, -20, -20, -20, -23, -22, -23, -24, -27, -28, -28, -32, -34, -33, -34, -36, -40, -39, -42, -41, -45, -48, -49, -50
-51, -52, -48, -46, -46, -44, -43, -40, -40, -39, -38, -37, -34, -30, -30, -30, -27, -26, -25, -23, -20, -22, -22, -21, -20, -17, -17, -15, -15, -15, -14, -12, -14, -11, -10, -10,  -8, -12,  -6,  -9,  -9,  -9, -11,  -9, -10,  -9, -11, -13, -12,  -9, -12, -12, -14, -13, -18, -16, -17, -19, -19, -20, -20, -22, -21, -23, -22, -29, -27, -29, -31, -31, -34, -34, -38, -38, -42, -42, -46, -46, -45, -49
-53, -50, -47, -51, -45, -43, -43, -40, -40, -39, -39, -34, -35, -31, -30, -27, -26, -25, -24, -24, -23, -20, -20, -20, -18, -15, -14, -15, -13, -15, -13, -12, -13, -10, -11,  -9,  -9,  -7,  -7,  -7,  -9,  -8,  -5,  -9, -10,  -8, -10,  -8, -11, -10, -12, -13, -14, -15, -12, -13, -14, -18, -17, -15, -19, -19, -22, -23, -23, -25, -26, -29, -29, -32, -31, -36, -34, -38, -42, -40, -43, -41, -45, -46
-51, -46, -48, -49, -46, -43, -43, -42, -39, -38, -34, -34, -33, -31, -29, -25, -28, -24, -22, -22, -21, -21, -18, -17, -15, -15, -15, -16, -12, -12,  -9,  -9, -12,  -9,  -9,  -7,  -8,  -9,  -4,  -7,  -6,  -5,  -7,  -7,  -5,  -8,  -8,  -7,  -9,  -9, -10, -10, -13, -12, -13, -14, -15, -15, -16, -17, -17, -19, -22, -22, -24, -24, -25, -26, -30, -32, -31, -35, -34, -36, -38, -41, -41, -41, -46, -49
