Camera Get Data Success
-49, -47, -48, -49, -49, -46, -46, -43, -44, -42, -40, -40, -39, -37, -37, -34, -34, -32, -31, -29, -29, -29, -26, -26, -25, -24, -23, -22, -22, -22, -20, -18, -17, -19, -18, -17, -18, -17, -17, -18, -16, -16, -17, -16, -17, -19, -19, -19, -21, -19, -20, -23, -21, -24, -24, -26, -25, -25, -28, -28, -30, -32, -33, -32, -35, -37, -38, -40, -40, -41, -41, -44, -44, -44, -49, -50, -49, -51, -51, -53
-50, -51, -50, -46, -45, -47, -48, -41, -44, -39, -40, -38, -39, -36, -35, -35, -32, -32, -29, -29, -28, -26, -26, -25, -24, -21, -22, -20, -21, -20, -18, -17, -17, -17, -16, -15, -15, -15, -15, -17, -17, -15, -15, -18, -18, -15, -18, -16, -17, -20, -20, -22, -22, -22, -23, -22, -23, -25, -25, -26, -29, -26, -30, -31, -33, -37, -35, -38, -36, -43, -42, -43, -44, -44, -47, -47, -49, -49, -48, -51
-50, -48, -45, -47, -45, -45, -44, -42, -40, -41, -38, -38, -36, -34, -33, -32, -32, -30, -29, -26, -24, -24, -23, -24, -22, -21, -19, -20, -20, -17, -18, -17, -17, -15, -16, -15, -16, -14, -14, -13, -14, -15, -14, -15, -15, -16, -15, -17, -16, -17, -16, -18, -19, -19, -19, -21, -22, -23, -24, -25, -26, -28, -28, -30, -32, -33, -33, -35, -39, -41, -41, -42, -45, -45, -46, -46, -46, -52, -52, -52
-47, -46, -45, -47, -45, -44, -41, -41, -41, -39, -37, -35, -33, -35, -32, -31, -30, -28, -26, -28, -24, -24, -21, -21, -20, -21, -18, -18, -17, -17, -15, -15, -14, -13, -15, -15, -14, -13, -13, -13, -15, -14, -11, -13, -16, -15, -14, -15, -14, -16, -15, -19, -17, -20, -19, -20, -20, -22, -24, -25, -26, -25, -29, -26, -29, -32, -34, -34, -36, -38, -38, -40, -41, -43, -45, -46, -47, -49, -50, -51
-46, -47, -48, -44, -43, -41, -44, -39, -41, -38, -36, -35, -34, -30, -31, -28, -30, -26, -26, -24, -24, -22, -19, -18, -17, -15, -17, -18, -15, -15, -12, -12, -14, -13, -13, -12, -13, -13, -13, -11, -11, -11, -13, -12, -13, -12, -13, -13, -13, -13, -14, -15, -14, -17, -18, -19, -19, -20, -20, -23, -23, -24, -26, -27, -26, -30, -31, -35, -36, -37, -40, -40, -41, -41, -44, -43, -45, -47, -50, -51
-47, -47, -44, -47, -45, -42, -41, -41, -40, -35, -35, -33, -32, -33, -30, -28, -27, -25, -25, -22, -20, -21, -19, -16, -17, -18, -16, -14, -13, -10, -14, -13, -14, -10, -12, -10, -11,  -9, -11, -11, -11, -11, -10,  -9, -11, -11, -13, -13, -13, -12, -15, -14, -14, -16, -17, -16, -18, -19, -21, -22, -24, -24, -27, -26, -27, -31, -32, -32, -34, -37, -36, -39, -41, -39, -42, -45, -48, -48, -46, -50
-47, -46, -45, -46, -44, -43, -42, -39, -39, -34, -34, -32, -30, -29, -26, -27, -25, -25, -21, -21, -19, -19, -19, -16, -16, -15, -13, -13, -10, -13, -10,  -9, -10,  -9,  -9,  -8,  -9,  -8,  -9,  -9, -10, -11, -11,  -9,  -9, -13, -12, -12, -12, -12, -11, -12, -13, -15, -15, -14, -18, -18, -18, -20, -21, -22, -25, -24, -28, -29, -30, -31, -32, -35, -38, -37, -38, -42, -42, -46, -46, -48, -47, -50
-49, -44, -46, -45, -42, -41, -38, -38, -38, -35, -34, -34, -30, -29, -26, -25, -24, -23, -22, -20, -19, -18, -14, -15, -16, -13, -14, -12, -10, -11, -10, -10,  -9,  -9,  -7,  -7,  -6,  -9,  -9,  -5,  -6,  -9, -15, -15, -11, -11,  -9, -11, -11,  -9, -13, -13, -14, -12, -16, -15, -16, -17, -17, -18, -20, -21, -24, -23, -23, -25, -28, -30, -30, -32, -35, -36, -37, -39, -41, -43, -42, -44, -50, -46
-49, -44, -46, -41, -42, -41, -39, -38, -38, -36, -32, -32, -29, -28, -27, -22, -23, -22, -19, -19, -18, -16, -15, -14, -15, -14, -10, -12,  -9, -10,  -9, -10,  -9,  -9,  -4,  -7,  -4,  -5,  -4,  -6,  -7,  -6, -42, -39, -11,  -8,  -8,  -8,  -8, -11, -10, -11, -13, -13, -12, -15, -16, -17, -16, -17, -19, -20, -21, -21, -23, -26, -28, -29, -29, -32, -31, -34, -36, -39, -40, -40, -43, -46, -44, -51
-47, -47, -43, -46, -42, -39, -38, -37, -34, -32, -32, -30, -27, -24, -26, -22, -20, -19, -21, -19, -19, -15, -14, -13, -11, -13, -11, -11,  -9, -10,  -7,  -6,  -7,  -5,  -7,  -8,  -4,  -4,  -4,  -4,  -6,  -6, -44, -47, -35,  -8,  -7,  -8,  -8, -10, -11,  -9, -10, -13, -13, -13, -13, -16, -18, -18, -18, -18, -21, -22, -24, -24, -25, -26, -30, -32, -33, -33, -35, -39, -40, -40, -42, -41, -47, -46
