-39, -38, -40, -36, -35, -34, -35, -35, -32, -32, -33, -30, -29, -29, -27, -23, -23, -21, -22, -22, -20, -16, -15, -14, -15, -14, -11, -10, -10,  -7,  -5,  -7,  -5,  -5,  -4,  -2,  -4,  -4,  -4,  -3,  -3,  -5,  -4,  -2,  -2,  -5,  -8,  -6,  -5,  -5,  -9, -10, -11, -12, -12, -16, -45, -57, -57, -61, -63, -66, -66, -68, -70, -74, -72, -78, -76, -78, -79, -79, -82, -84, -86, -85, -83, -83, -86, -86
-36, -39, -36, -37, -36, -35, -33, -34, -34, -31, -29, -30, -27, -27, -24, -25, -22, -22, -21, -16, -16, -13, -13, -13, -12, -11,  -7,  -9,  -6,  -6,  -7,  -6,  -5,  -4,  -2,  -2,  -2,   0,   0,  -1,   0,   0,  -1,  -2,  -1,  -4,  -3,  -6,  -3,  -4,  -6,  -6, -10, -10, -15, -52, -55, -55, -54, -61, -67, -66, -70, -70, -73, -77, -74, -75, -79, -77, -79, -78, -81, -83, -85, -82, -86, -85, -84, -85
-38, -37, -37, -36, -35, -35, -34, -33, -31, -29, -27, -27, -26, -25, -23, -23, -22, -21, -17, -15, -15, -14, -11, -11,  -8,  -7,  -7,  -4,  -6,  -4,  -4,  -5,  -3,   0,  -2,   0,  -1,   0,  -1,   2,  -1,   0,   0,   3,   1,   0,  -1,  -4,  -4,  -4,  -6,  -4,  -6, -28, -50, -52, -54, -56, -59, -65, -67, -71, -72, -73, -75, -75, -76, -75, -78, -78, -79, -81, -82, -84, -85, -81, -89, -87, -87, -88
-37, -36, -37, -35, -37, -34, -32, -31, -31, -30, -30, -25, -26, -24, -22, -21, -20, -17, -14, -13, -12, -10,  -9,  -8,  -7,  -6,  -6,  -3,  -4,  -2,  -4,   0,   0,   1,   0,   2,   5,   0,   3,   1,   2,   3,   1,   1,   2,   0,   1,   0,  -1,  -2,  -3,  -4, -27, -46, -46, -47, -55, -55, -58, -64, -68, -78, -75, -79, -77, -75, -80, -81, -79, -81, -80, -84, -84, -85, -84, -85, -87, -86, -86, -87
-37, -36, -36, -36, -35, -34, -30, -32, -30, -30, -26, -24, -23, -22, -21, -21, -16, -16, -14, -13,  -9,  -9,  -9,  -4,  -4,  -2,  -1,  -2,   0,   0,   0,   1,   5,   0,   2,   4,   4,   5,   5,   2,   7,   3,   4,   3,   4,   0,   0,   1,   2,   0,   0, -14, -47, -47, -45, -46, -49, -52, -59, -62, -67, -77, -79, -81, -80, -83, -85, -82, -83, -83, -83, -84, -84, -85, -85, -86, -87, -87, -87, -89
-38, -36, -36, -35, -33, -34, -30, -29, -29, -29, -25, -24, -24, -21, -20, -17, -13, -13, -14, -11,  -9,  -7,  -6,  -5,  -2,  -3,  -1,   1,   2,   2,   2,   4,   4,   5,   5,   5,   4,   6,   6,   6,   5,   6,   4,   2,   6,   2,   2,   0,   0,   2,  -2, -45, -47, -47, -46, -48, -47, -47, -52, -56, -63, -68, -83, -81, -85, -86, -84, -84, -85, -85, -84, -86, -85, -87, -88, -88, -91, -92, -92, -91
-36, -37, -36, -34, -33, -32, -29, -30, -26, -25, -23, -23, -23, -20, -14, -14, -15, -12, -10, -10,  -8,  -6,  -4,  -1,  -2,   2,   2,   2,   0,   3,   4,   5,   6,   7,   6,   5,   9,   6,   9,   9,   4,   7,   5,   6,   8,   7,   4,   4,   2,  -1, -42, -46, -49, -45, -47, -46, -47, -47, -51, -54, -61, -69, -86, -86, -90, -87, -89, -89, -88, -87, -86, -86, -89, -89, -87, -89, -90, -91, -91, -91
-35, -35, -36, -34, -35, -32, -30, -28, -27, -24, -23, -19, -17, -17, -16, -14, -13, -10,  -8,  -8,  -6,  -5,  -2,  -1,  -1,   3,   3,   2,   6,   7,   7,   6,   8,   9,   8,   6,   8,   7,   8,   8,   7,   8,   7,   5,   7,   4,   5,   3,   1, -34, -49, -45, -48, -47, -44, -45, -43, -46, -50, -54, -56, -67, -86, -88, -87, -90, -89, -89, -89, -89, -89, -89, -90, -90, -90, -89, -90, -93, -90, -93
-37, -36, -35, -35, -31, -29, -29, -26, -27, -25, -20, -22, -18, -18, -15, -12, -12,  -9,  -9,  -8,  -5,  -2,   0,   0,   2,   4,   2,   5,   3,   8,   9,   7,   9,   8,  12,  11,  10,  10,  12,   8,  10,   9,   9,   8,   6,   8,   5,   6,   2, -43, -50, -47, -50, -45, -45, -43, -45, -47, -47, -54, -53, -62, -77, -93, -91, -92, -92, -90, -88, -91, -88, -91, -92, -92, -92, -91, -92, -95, -96, -92
-36, -33, -33, -30, -32, -28, -29, -27, -24, -22, -20, -19, -17, -16, -12, -14,  -9,  -8,  -6,  -5,  -2,  -1,   1,   1,   3,   3,   6,   6,   6,   8,   8,  10,   9,  13,  11,  12,  13,  12,  12,  11,  10,  13,  11,  10,   6,   8,   8,   7, -43, -44, -50, -49, -48, -49, -46, -46, -43, -43, -48, -53, -60, -64, -76, -92, -90, -90, -93, -92, -89, -91, -89, -93, -91, -91, -94, -94, -94, -96, -95, -94
-33, -35, -32, -33, -29, -29, -29, -27, -24, -21, -17, -18, -16, -14, -14, -11,  -7,  -6,  -5,  -2,  -1,   1,   0,   4,   2,   5,   9,  10,   7,  12,  11,  11,  10,  12,  10,  12,  10,  12,  12,  14,  11,  14,  12,  12,  11,  10,   9, -33, -46, -46, -50, -47, -51, -49, -46, -44, -50, -44, -47, -52, -61, -62, -72, -93, -91, -91, -91, -92, -89, -92, -93, -92, -92, -92, -92, -93, -92, -96, -96, -94
-32, -34, -33, -32, -27, -28, -24, -25, -24, -18, -17, -14, -13, -13,  -8, -10,  -6,  -4,  -5,   0,  -3,  -2,   5,   3,   6,   7,   7,   8,   9,  11,  13,  12,  12,  12,  13,  14,  14,  13,  13,  16,  15,  14,  14,  13,  14,  12,   5, -43, -47, -44, -45, -50, -50, -49, -45, -47, -46, -41, -44, -48, -63, -67, -72, -93, -91, -91, -91, -93, -89, -91, -90, -90, -91, -93, -94, -91, -95, -93, -96, -96
-34, -31, -32, -29, -27, -27, -26, -25, -21, -19, -17, -15, -13, -11, -11,  -8,  -3,  -5,  -2,  -1,   0,   3,   4,   9,   6,   8,   9,   9,  12,  11,  14,  16,  14,  15,  14,  14,  17,  16,  16,  16,  15,  14,  13,  13,  14,  10, -40, -41, -44, -50, -49, -52, -54, -52, -50, -48, -46, -44, -46, -47, -58, -71, -79, -93, -92, -92, -91, -92, -91, -91, -92, -94, -92, -94, -94, -94, -92, -92, -94, -94
-34, -33, -31, -29, -28, -26, -23, -24, -22, -18, -16, -15, -12, -12,  -9,  -4,  -4,   0,   2,  -1,   2,   3,   3,   8,   9,   9,  10,  11,  13,  13,  13,  12,  14,  15,  16,  18,  16,  16,  17,  20,  16,  14,  16,  14,  15, -28, -40, -43, -45, -47, -53, -55, -60, -55, -52, -45, -44, -44, -47, -54, -68, -72, -81, -89, -92, -93, -90, -89, -93, -90, -93, -90, -90, -89, -92, -91, -93, -94, -94, -95
-35, -33, -30, -28, -27, -24, -25, -20, -20, -17, -15, -14, -10,  -9,  -8,  -5,  -4,  -3,  -1,   2,   5,   6,   4,   8,  11,  10,  12,  12,  17,  14,  15,  15,  17,  18,  17,  15,  18,  15,  16,  20,  18,  17,  17,  17,  13, -36, -42, -39, -43, -52, -57, -63, -60, -63, -61, -52, -53, -55, -53, -63, -70, -76, -83, -86, -86, -89, -88, -91, -89, -91, -91, -91, -91, -91, -92, -93, -91, -95, -92, -94
-32, -33, -30, -29, -28, -25, -20, -20, -18, -16, -14, -12,  -9,  -9,  -6,  -3,  -4,  -1,   1,   0,   5,   5,   6,   8,  10,  11,  13,  13,  14,  15,  15,  17,  18,  20,  17,  18,  21,  17,  20,  18,  19,  20,  17,  16, -35, -39, -40, -44, -45, -52, -62, -64, -62, -66, -63, -57, -56, -59, -66, -66, -71, -76, -86, -87, -83, -56, -63, -88, -89, -92, -92, -90, -92, -92, -90, -93, -93, -91, -94, -95
-33, -32, -32, -28, -26, -25, -22, -20, -17, -13, -13, -11, -10,  -8,  -6,  -6,  -3,   2,   2,   0,   6,   6,   8,   9,  10,  13,  13,  15,  17,  17,  17,  18,  17,  20,  22,  20,  18,  20,  20,  21,  20,  19,  17, -11, -39, -37, -37, -41, -49, -57, -64, -64, -65, -65, -65, -64, -60, -63, -64, -63, -67, -82, -86, -80, -65, -69, -70, -78, -89, -91, -93, -92, -93, -94, -97, -94, -92, -92, -94, -94
-32, -30, -29, -26, -25, -24, -23, -18, -16, -15, -12, -10, -11,  -5,  -4,  -1,  -2,   1,   3,   6,   6,   8,   9,  10,  13,  14,  14,  14,  16,  18,  18,  20,  20,  19,  22,  23,  22,  22,  22,  24,  22,  20,  15, -34, -36, -37, -39, -44, -49, -57, -71, -66, -70, -71, -68, -67, -65, -65, -65, -66, -70, -82, -88, -72, -59, -58, -54, -59, -83, -89, -89, -90, -89, -91, -89, -89, -91, -91, -95, -92
